Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),EL
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek High,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,-,6,-,47,185,35,20,293,26,10,12
NC,Charlotte-Mecklenburg Schools,NC,Olympic TEAM High School,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,3,-,49,50,20,7,129,11,1,13
NC,Charlotte-Mecklenburg Schools,NC,Olympic TEAM High School,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,1,-,-,9,26,5,1,42,4,-,5
NC,Charlotte-Mecklenburg Schools,NC,Performance Learning Center,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,-,-,6,12,-,-,18,8,-,4
NC,Charlotte-Mecklenburg Schools,NC,Performance Learning Center,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,-,1,-,7,35,2,1,46,8,-,2
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Renaissance School,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,1,2,-,25,16,11,2,57,15,-,5
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Renaissance School,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,1,3,-,17,21,16,1,59,8,1,3
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Math Eng Tech Science,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,4,-,31,16,29,6,86,8,-,6
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Math Eng Tech Science,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,-,2,1,18,10,10,1,42,2,3,3
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Leadership and Development,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,1,3,-,14,40,8,1,67,11,3,8
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Leadership and Development,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,-,-,-,32,45,5,7,89,5,6,8
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Biotech Health Pub Admin,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,2,-,24,25,8,-,59,13,2,8
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Biotech Health Pub Admin,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,-,2,-,20,30,11,1,64,5,1,8
NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,11,-,19,15,62,4,111,16,4,5
NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,-,11,-,21,15,68,5,120,19,6,6
NC,Charlotte-Mecklenburg Schools,NC,Military and Global Leadership Academy,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,-,-,8,13,3,-,24,7,3,4
NC,Charlotte-Mecklenburg Schools,NC,Military and Global Leadership Academy,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,-,1,-,15,8,3,1,28,3,1,1
NC,Charlotte-Mecklenburg Schools,NC,Rocky River High,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,2,5,-,90,137,26,10,270,40,11,34
NC,Charlotte-Mecklenburg Schools,NC,Rocky River High,3.70297E+11,2017,Students absent 15 or more school dates during school year,F,2,6,-,89,116,23,12,248,22,3,24
NC,Charlotte-Mecklenburg Schools,NC,William Amos Hough High,3.70297E+11,2017,Students absent 15 or more school dates during school year,M,-,2,-,25,17,101,6,151,23,6,8
